trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.2, 'e': 1.0}",20,0,-129.92359703566166,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
46,False,"{'a': 0.2, 'e': 1.0}",20,0,-62.10732483825986,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.2, 'e': 1.0}",30,0,-178.90676803875033,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
48,False,"{'a': 0.2, 'e': 1.0}",30,0,-164.92318530431373,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
49,False,"{'a': 0.2, 'e': 1.0}",30,19,-51.369468978663605,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.2, 'e': 1.0}",20,0,-47.4890431235686,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
51,False,"{'a': 0.2, 'e': 1.0}",25,0,-139.1387228373206,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.2, 'e': 1.0}",20,0,-133.2652297412036,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.2, 'e': 1.0}",25,0,-58.493439290731935,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.2, 'e': 1.0}",25,0,-117.99293866938199,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
55,False,"{'a': 0.2, 'e': 1.0}",20,0,-156.42499232956519,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
56,False,"{'a': 0.2, 'e': 1.0}",25,0,-86.42016224604731,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
57,False,"{'a': 0.2, 'e': 1.0}",20,0,-106.89354904758764,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.2, 'e': 1.0}",20,0,-144.1355273341993,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.2, 'e': 1.0}",20,1,-3.235231083523431,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 1.0}",20,0,-122.65336349786524,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
61,False,"{'a': 0.2, 'e': 1.0}",20,0,-161.06846318581543,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
62,False,"{'a': 0.2, 'e': 1.0}",20,0,-83.48356742114436,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.2, 'e': 1.0}",25,9,-138.10984615403478,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 3}",1
64,False,"{'a': 0.2, 'e': 1.0}",30,0,-80.48967116120922,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.2, 'e': 1.0}",20,4,-99.90854692684583,"{0: 7, 1: 4, 2: 3, 3: 1, 4: 1}",1
66,False,"{'a': 0.2, 'e': 1.0}",20,0,-129.20182667561372,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.2, 'e': 1.0}",25,0,-128.9991709420596,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
68,False,"{'a': 0.2, 'e': 1.0}",20,7,-42.930370119597505,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
69,False,"{'a': 0.2, 'e': 1.0}",20,0,-62.96945932914947,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.2, 'e': 1.0}",25,9,-67.34386644498342,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
71,False,"{'a': 0.2, 'e': 1.0}",25,0,-142.55575134406115,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
72,False,"{'a': 0.2, 'e': 1.0}",35,0,-374.17645253189414,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 7}",0
73,False,"{'a': 0.2, 'e': 1.0}",30,0,-44.21988457144651,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 1.0}",25,0,-173.40749983903362,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
75,False,"{'a': 0.2, 'e': 1.0}",25,0,-139.17559538810553,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
76,False,"{'a': 0.2, 'e': 1.0}",30,0,-139.60345052865492,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
77,False,"{'a': 0.2, 'e': 1.0}",25,0,-260.24664119965473,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
78,False,"{'a': 0.2, 'e': 1.0}",20,0,-154.38308745560371,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
79,False,"{'a': 0.2, 'e': 1.0}",25,0,-123.32561251710707,"{0: 15, 1: 0, 2: 6, 3: 4, 4: 0}",0
80,False,"{'a': 0.2, 'e': 1.0}",25,6,-39.433133519379176,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.2, 'e': 1.0}",25,0,-138.730787545267,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
82,False,"{'a': 0.2, 'e': 1.0}",30,0,-67.0307369495561,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.2, 'e': 1.0}",25,0,-62.86718059310492,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
84,False,"{'a': 0.2, 'e': 1.0}",20,0,-89.62206043922335,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.2, 'e': 1.0}",25,0,-228.84959237098505,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
86,False,"{'a': 0.2, 'e': 1.0}",30,0,-139.8748436533082,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
87,False,"{'a': 0.2, 'e': 1.0}",25,0,-217.92218655657751,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
